Key,English,French,Russian,Dutch,Italian,Portuguese,Spanish,Japanese,Thai,Korean,Filipino,Vietnamese,Malay,Indonesian,Polish,Simplified_Chinese,Traditional_Chinese,Danish,Turkish,Uzbek,Norwegian,Swedish,Romanian
TranslateLang,English,Français,Русский,Nederlands,Italiana,Português,Española,日本語,แบบไทย,한국인,Filipino,Tiếng_Việt,Melayu,Bahasa_Indonesia,Polski,简体中文,繁體中文,Dansk,Türkçe,ozbek,Norsk,Svenska,Română
Menu,Menu,Menu,Меню,Menu,Menù,Cardápio,Menú,メニュー,เมนู,메뉴,Menu,Thực đơn,Menu,Menu,Menu,菜单,選單,Menu,Menü,Menyu,Meny,Meny,Meniul
Settings,Settings,Paramètres,Настройки,Instellingen,Impostazioni,Configurações,Ajustes,設定,การตั้งค่า,설정,Mga setting,Cài đặt,tetapan,Pengaturan,Ustawienia,设置,設定,Indstillinger,Ayarlar,Sozlamalar,Innstillinger,inställningar,Setări
Battle,Battle,Bataille,Боевой,Strijd,Battaglia,Batalha,Batalla,戦い,การต่อสู้,전투,Labanan,Trận đánh,Pertempuran,Pertarungan,Bitwa,战斗,戰鬥,Kamp,Savaş,Jang,Slag,Slåss,Luptă
Profile,Profile,Profil,Профиль,Profiel,Profilo,Perfil,Perfil,プロフィール,ประวัติโดยย่อ,프로필,Profile,Hồ sơ,Profil,Profil,Profil,轮廓,輪廓,Profil,Profil,Profil,Profil,Profil,Profil
Park,Park,Parc,Парк,Park,Parco,Parque,Parque,公園,สวน,공원,Park,Công viên,Taman,Taman,Park,公园,公園,Parkere,Park,Park,Parkere,Parkera,Parc
Shop,Shop,Boutique,Магазин,Winkel,Negozio,Comprar,Comercio,店,ร้านค้า,가게,Mamili,Cửa hàng,kedai,Toko,Sklep,店铺,店鋪,Butik,Mağaza,Do'kon,Butikk,affär,Magazin
Customize,Customize,Personnaliser,Настроить,Aanpassen,personalizzare,Customizar,Personalizar,カスタマイズ,ปรับแต่ง,사용자 정의,I-customize,Tùy chỉnh,Sesuaikan,Sesuaikan,Dostosuj,定制,客製化,Tilpas,Özelleştirmek,Moslashtiring,Tilpass,Anpassa,Personalizați
Edit Profile,Edit Profile,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
Kingdoms,Kingdoms,Royaumes,Королевства,Koninkrijken,Regni,Reinos,Reinos,王国,อาณาจักร,왕국,mga kaharian,Vương quốc,kerajaan,Kerajaan,Królestwa,王国,王國,Riger,Krallıklar,Shohliklar,Kongedømmer,kungadömena,Regate
Friends Corner,Friends Corner,Coin des amis,Уголок друзей,Vriendenhoek,L'angolo degli amici,Cantinho dos Amigos,Rincón de amigos,フレンズコーナー,มุมเพื่อน,프렌즈 코너,Friends Corner,Góc bạn bè,Sudut Kawan,Pojok Teman,Kącik Przyjaciół,朋友角,朋友角,Friends Corner,Arkadaşlar Köşesi,Do'stlar burchagi,Friends Corner,Friends Corner,Colțul prietenilor
Search Kingdom,Search Kingdom,Recherche Royaume,Поиск Королевства,Zoek Koninkrijk,Cerca Regno,Pesquisar Reino,Reino de búsqueda,探索王国,ค้นหาอาณาจักร,왕국 검색,Hanapin ang Kaharian,Tìm kiếm Vương quốc,Cari Kerajaan,Kerajaan Pencarian,Wyszukaj Królestwo,搜索王国,搜索王國,Søg Kingdom,Krallıkta Ara,Qirollikni qidiring,Søk i Kingdom,Sök kungariket,Caută Regatul
LogOut,LogOut,Se déconnecter,Выйти,Uitloggen,Disconnettersi,Sair,Cerrar sesión,ログアウト,ออกจากระบบ,로그 아웃,Mag-logout,Đăng xuất,Log keluar,Keluar,Wyloguj,登出,登出,Log ud,Çıkış Yap,Chiqish,Logg ut,Logga ut,Deconectați-vă
KINGDOM-JOIN KINGDOM,KINGDOM-JOIN KINGDOM,ROYAUME-REJOIGNEZ LE ROYAUME,КОРОЛЕВСТВО – ПРИСОЕДИНЯЙТЕСЬ К КОРОЛЕВСТВУ,KONINKRIJK - WORD LID VAN KONINKRIJK,KINGDOM - UNISCITI A KINGDOM,REINO-JUNTE-SE AO REINO,REINO-ÚNETE AL REINO,キングダム - キングダムに参加,ราชอาณาจักรเข้าร่วมราชอาณาจักร,왕국-왕국에 합류,KAHARIAN-SUMALI SA KAHARIAN,VƯƠNG QUỐC-THAM GIA VƯƠNG QUỐC,KERAJAAN-SERTAI KERAJAAN,KERAJAAN-BERGABUNG DENGAN KERAJAAN,KRÓLESTWO – DOŁĄCZ DO KRÓLESTWA,王国-加入王国,王國-加入王國,KONGERIGE-GÅ MED TIL KONGERIGE,KRALLIK-KRALLIĞA KATILIN,SHOHLIK-QIROLLIKGA QO'SHILING,KINGDOM-GÅ MED I KINGDOM,KUNGARIKET-GÅ MED KUNGARIKET,REGATUL-ALĂTURAȚI-VĂ ÎN REGATUL
Auto Join,Auto Join,Rejoindre automatiquement,Автоматическое присоединение,Automatische deelname,Unione automatica,Associação automática,Unirse automáticamente,自動参加,เข้าร่วมอัตโนมัติ,자동 가입,Auto Join,Tự động tham gia,Auto Sertai,Gabung Otomatis,Automatyczne dołączanie,自动加入,自動加入,Auto Join,Otomatik Katıl,Avtomatik qo'shilish,Auto Join,Auto Join,Alăturare automată
Create Kingdom,Create Kingdom,Créer un royaume,Создать Королевство,Creëer koninkrijk,Crea Regno,Criar Reino,crear reino,王国を創る,สร้างอาณาจักร,왕국 창조,Lumikha ng Kaharian,Tạo Vương quốc,Cipta Kerajaan,Ciptakan Kerajaan,Stwórz Królestwo,创建王国,創建王國,Skab kongerige,Krallık Oluştur,Shohlikni yaratish,Skap rike,Skapa kungariket,Creați regatul
