Key,Arabic,Azerbaijani,Bulgarian,Brazilian_Portuguese,Croatian,Czech,Danish,Dutch,English,Filipino,Finnish,French,German,Greek,Hebrew,Hungarian,Icelandic,Indonesian,Italian,Japanese,Kazakh,Korean,Latvian,Lithuanian,Malay,Norwegian,Polish,Portuguese,Romanian,Russian,Simplified_Chinese,Slovak,Slovenian,Spanish,Swedish,Thai,Traditional_Chinese,Turkish,Ukrainian,Uzbek,Vietnamese
TranslateLang,عربي,Azərbaycan,български,Portugues_do_Brasil,Hrvatski,čeština,Dansk,Nederlands,English,Filipino,Suomalainen,Français,Deutsch,Ελληνικά,עִברִית,Magyar,íslenskur,Bahasa,Italiana,日本語,қазақ,한국인,latviski,lietuvių,Melayu,norsk,Polski,Português,Română,Русский,简体中文,slovenský,Slovenščina,Española,svenska,แบบไทย,繁體中文,Türkçe,українська,o'zbek,Tiếng_Việt
RATE,معدل,RATE,СТАВКА,AVALIAR,STOPA,HODNOTIT,SATS,TARIEF,RATE,RATE,RATE,TAUX,RATE,ΤΙΜΗ,קֶצֶב,ARÁNY,VERÐA,KECEPATAN,VALUTARE,レート,БАҒАМ,비율,LIKE,RATE,KADAR,SATS,WSKAŹNIK,AVALIAR,RATA,СТАВКА,速度,RATE,RATE,TASA,HASTIGHET,ประเมิน,速度,ORAN,СТАВКА,RATE,TỶ LỆ
Are you enjoying word tourney,هل تستمتع بجولة الكلمات,Söz turnirindən zövq alırsınız,Харесва ли ви Word Tourney,Você está gostando do torneio de palavras,Uživate li u turniru riječi,Baví tě slovní turnaj?,Nyder du ordturnering,Geniet je van het woordtoernooi?,Are you enjoying word tourney,Nag-enjoy ka ba sa word tournament,Nautitko sanaturnauksesta,Aimez-vous le tournoi de mots,Gefällt Ihnen das Wortturnier?,Απολαμβάνετε το word τουρνουά,האם אתה נהנה מסיבוב מילים,Élvezed a szóversenyt?,Ertu að njóta orðaferða,Apakah Anda menikmati turnamen kata,Ti stai divertendo con il torneo di parole?,ワードトーナメント楽しんでますか？,Сізге сөздік турнир ұнады ма?,단어 토너먼트를 즐기고 있습니까?,Vai jums patīk vārdu turnīrs,Ar jums patinka žodžių turnyras,Adakah anda menikmati pertandingan perkataan,Liker du ordturnering,Czy lubisz turnieje słowne?,Você está gostando do torneio de palavras,Te bucuri de turneul de cuvinte,Вам нравится словесный турнир?,你喜欢单词锦标赛吗,Tešíš sa na slovný turnaj?,Ali uživate v besednem turnirju?,¿Estás disfrutando del torneo de palabras?,Gillar du ordturnering,คุณเพลิดเพลินกับ word tourney หรือไม่,你喜歡單字錦標賽嗎,Kelime turnuvasından hoşlanıyor musun?,Вам подобається турнір зі слів,Sizga so'z turkumi yoqyaptimi?,Bạn có thích giải đấu chữ không
Friend,صديق,dost,приятел,Amigo,Prijatelj,příteli,Ven,Vriend,Friend,kaibigan,ystävä,Ami,Freund,Φίλε,חבר,Barát,Vinur,Teman,Amico,友達,дос,친구,Draugs,Draugas,kawan,Venn,Przyjaciel,Amigo,Prietene,Друг,朋友,Priateľ,prijatelj,amigo,Vän,เพื่อน,朋友,Arkadaş,Друг,Do'stim,Bạn bè
Collect,يجمع,Toplayın,Събирайте,Coletar,Prikupiti,Sbírat,Samle,Verzamelen,Collect,Mangolekta,Kerätä,Collecter,Sammeln,Συλλέγω,לֶאֱסוֹף,Gyűjt,Safna,Mengumpulkan,Raccogliere,集める,Жинау,모으다,Savākt,Surinkti,Kumpul,Samle,Zbierać,Coletar,Colecta,Собирать,收集,zbierať,Zberite,Recolectar,Samla,เก็บรวบรวม,收集,TOPLAMAK,Збирати,Yig'ish,Sưu tầm
Your reward,مكافأتك,Mükafatınız,Вашата награда,Sua recompensa,Vaša nagrada,Vaše odměna,Din belønning,Jouw beloning,Your reward,Ang iyong gantimpala,Sinun palkintosi,Votre récompense,Deine Belohnung,Η ανταμοιβή σας,הפרס שלך,A jutalmad,Verðlaunin þín,Hadiahmu,La tua ricompensa,あなたの報酬,Сіздің сыйлығыңыз,당신의 보상,Jūsu atlīdzība,Jūsų atlygis,Ganjaran anda,Din belønning,Twoja nagroda,Sua recompensa,Recompensa ta,Ваша награда,你的奖励,Vaša odmena,Vaša nagrada,tu recompensa,Din belöning,รางวัลของคุณ,你的獎勵,Ödülünüz,Ваша винагорода,Sizning mukofotingiz,Phần thưởng của bạn
Tournament Reward,مكافأة البطولة,Turnirin Mükafatı,Турнирна награда,Recompensa do Torneio,Nagrada za turnir,Odměna za turnaj,Turneringsbelønning,Toernooi beloning,Tournament Reward,Gantimpala sa Tournament,Turnauksen palkinto,Récompense du tournoi,Turnierbelohnung,Επιβράβευση Τουρνουά,פרס בטורניר,Verseny jutalma,Verðlaun fyrir mótið,Hadiah Turnamen,Premio del torneo,トーナメント報酬,Турнир сыйлығы,토너먼트 보상,Turnīra balva,Turnyro apdovanojimas,Ganjaran Kejohanan,Turneringsbelønning,Nagroda turniejowa,Recompensa do Torneio,Recompensa de turneu,Награда за турнир,锦标赛奖励,Turnajová odmena,Nagrada za turnir,Recompensa del torneo,Turneringsbelöning,รางวัลการแข่งขัน,錦標賽獎勵,Turnuva Ödülü,Нагорода за турнір,Turnir mukofoti,Phần thưởng giải đấu
Tournaments,البطولات,Turnirlər,Турнири,Torneios,Turniri,Turnaje,Turneringer,Toernooien,Tournaments,Mga paligsahan,Turnaukset,Tournois,Turniere,Τουρνουά,טורנירים,Versenyek,Mót,Turnamen,Tornei,トーナメント,Турнирлер,토너먼트,Turnīri,Turnyrai,Kejohanan,Turneringer,Turnieje,Torneios,Turnee,Турниры,锦标赛,Turnaje,Turnirji,Torneos,Turneringar,ทัวร์นาเมนต์,錦標賽,Turnuvalar,Турніри,Turnirlar,Giải đấu
Completed,مكتمل,Tamamlandı,Завършено,Concluído,Završeno,Dokončeno,Afsluttet,Voltooid,Completed,Nakumpleto,Valmis,Complété,Vollendet,Ολοκληρώθηκε το,הושלם,Befejezve,Lokið,Selesai,Completato,完了,Аяқталды,완전한,Pabeigts,Užbaigta,Selesai,Fullført,Zakończony,Concluído,Terminat,Завершенный,完全的,Dokončené,Dokončano,Terminado,Avslutad,สมบูรณ์,完全的,Tamamlanmış,Виконано,Bajarildi,Hoàn thành
